t theta phi p q c H
26.7270000000009 273.18651037053945 8.13562092342501 -8.575462292177694 -0.43064728595398477 0 59.18259922342813
26.7450000000009 268.6316432633224 7.131544795048493 -8.853698719032199 -0.48388640529144483 0 59.182599224590504
26.7630000000009 263.8778472604446 5.746892392029067 -9.098452268507964 -0.5735582475436346 0 59.18259922611891
26.7810000000009 258.9199414471452 3.9358760943315865 -9.301831753069697 -0.7062862832220702 0 59.18259922798646
26.799000000000902 253.75653673365596 1.6524483473526101 -9.455605101283288 -0.8888867195413981 0 59.18259923009778
26.817000000000903 248.39172332369404 358.8520733124066 -9.551469310664743 -1.1281091914881052 0 59.18259923226539
26.835000000000903 242.83698710483952 355.4939785749017 -9.581422706148546 -1.4302875110758875 0 59.18259923419094
26.853000000000904 237.1132373910397 351.54379278057513 -9.538246538251556 -1.8008954576789644 0 59.18259923545632
26.871000000000905 231.25275971736176 346.97637785517657 -9.416097178701444 -2.244006487389995 0 59.18259923553663
26.889000000000905 225.30084299496613 341.77856562556934 -9.211203868601904 -2.761659636985672 0 59.182599233859584
26.907000000000906 219.31678346994235 335.95142421798255 -8.922656562305196 -3.353140836994683 0 59.182599229961156
26.925000000000907 213.3739529970033 329.51162276775096 -8.553245975645945 -4.014208231125195 0 59.18259922379449
26.943000000000907 207.55865480829183 322.49144582614 -8.110275495885402 -4.736331243531457 0 59.18259921619341
26.961000000000908 201.96760320740333 314.9370509728989 -7.606204814288317 -5.506074489657658 0 59.182599209342484
26.97900000000091 196.70408399812504 306.9046954942236 -7.058933189260011 -6.3048142113017365 0 59.18259920692731
26.99700000000091 191.87318595520716 298.4549027716838 -6.4915330589894635 -7.108978647640264 0 59.18259921363981
27.01500000000091 187.57688525618582 289.6448619859251 -5.931344474330801 -7.890910159603371 0 59.1825992340754
27.03300000000091 183.9100890425782 280.5196249188771 -5.408529964662254 -8.620261176468741 0 59.182599271628185
27.05100000000091 180.9588642199534 271.1026766650941 -4.954383831805712 -9.265641124793389 0 59.18259932827904
27.069000000000912 178.80195335286334 261.38603389973673 -4.599754203269125 -9.796163415342024 0 59.1825994059796
27.087000000000913 177.51642110062807 251.31912540260078 -4.373731127180139 -10.182741587078453 0 59.18259951059592
27.105000000000913 177.18796463760188 240.7945800096425 -4.302073871299245 -10.399659189214033 0 59.182599663472935
27.123000000000914 177.92520415109513 229.62908208520244 -4.402989415333955 -10.428794382449558 0 59.18259994613619
27.141000000000915 179.8689706603807 217.54679098403005 -4.672335192836644 -10.274407971582674 0 59.1826006631851
27.159000000000916 183.1416777869639 204.23306652702863 -5.037385692524609 -10.009296181951278 0 59.18260227241751
27.177000000000916 187.5426806058655 189.72144651215686 -5.28289290510926 -9.848409498960248 0 59.182602335589316
27.195000000000917 192.06660645961398 175.04744961729946 -5.202451645257266 -9.996846367171393 0 59.18260204673781
27.213000000000918 195.56326530816952 161.42983445056365 -4.946136276206675 -10.30220073896129 0 59.182600443096895
27.23100000000092 197.68198714614454 149.08023290189664 -4.759051982917407 -10.517107740843946 0 59.18259916604353
27.24900000000092 198.51158844059003 137.70989525398286 -4.741067130561262 -10.540124713314734 0 59.182598683332756
27.26700000000092 198.19445240380458 127.03033005120899 -4.906188264059228 -10.356248751139457 0 59.18259845513067
27.28500000000092 196.8444831788809 116.8488602920854 -5.238730625478005 -9.980528744136826 0 59.182598305537994
27.30300000000092 194.55240162235566 107.05764351957058 -5.712355641449801 -9.438876461397697 0 59.18259819149985
27.32100000000092 191.4011808230033 97.61368995610849 -6.295475465383901 -8.762570318498572 0 59.182598103439574
27.339000000000922 187.47766075209694 88.52305572735168 -6.9532234732440115 -7.986235518984654 0 59.182598040302345
27.357000000000923 182.87872448796426 79.82786796291256 -7.649125707313755 -7.146158048945636 0 59.18259800175528
27.375000000000924 177.7124300274849 71.59420798071793 -8.347167083068033 -6.27823577969614 0 59.1825979850862
27.393000000000924 172.09507538518986 63.900194759252436 -9.0140476008591 -5.415766587885543 0 59.18259798482838
27.411000000000925 166.14560802990988 56.82472643383721 -9.62115914682078 -4.587532260568375 0 59.18259799424077
27.429000000000926 159.9789903349211 50.43784269615381 -10.145907336899073 -3.8165375364038403 0 59.182598007239
27.447000000000926 153.6999788726853 44.79360208987575 -10.57225290820494 -3.119512308052289 0 59.182598019579544
27.465000000000927 147.39834283099668 39.92595952734356 -10.890569328240936 -2.507067536285387 0 59.182598029015104
27.483000000000928 141.1460193566074 35.847636394275874 -11.097016123941213 -1.9843015951413885 0 59.18259803483757
27.50100000000093 134.9962354516204 32.55156039881773 -11.19262703016446 -1.551663620160434 0 59.182598037297964
27.51900000000093 128.984290183885 30.01418046225049 -11.182270693461279 -1.2059280624122193 0 59.18259803713889
27.53700000000093 123.12950286184578 28.19985085523708 -11.073603538462178 -0.9411743143834232 0 59.18259803526803
27.55500000000093 117.43778173622695 27.06552253528191 -10.876107962193267 -0.7496892967823607 0 59.18259803254816
27.57300000000093 111.90432662578051 26.56514450963917 -10.60028531105092 -0.6227302795918147 0 59.18259802968697
27.591000000000932 106.51610650525801 26.65340265573313 -10.25704655832003 -0.5511075141381938 0 59.18259802721631
27.609000000000933 101.25390507123323 27.28863792791558 -9.857317885830943 -0.5255690120744283 0 59.182598025540244
27.627000000000933 96.09387220346386 28.434934179592194 -9.411861116294189 -0.5369856860321461 0 59.18259802503192
27.645000000000934 91.00865151735306 30.06341107629209 -8.931305674064209 -0.5763382669839859 0 59.18259802617091
27.663000000000935 85.96830148136245 32.15266542306606 -8.42640027048605 -0.6344966466083264 0 59.18259802972773
27.681000000000935 80.94145752918477 34.688011370472324 -7.908512348921293 -0.7017634483997494 0 59.18259803697579
27.699000000000936 75.89760317458209 37.65856375053865 -7.3904052628147685 -0.7671520532499089 0 59.182598049721946
27.717000000000937 70.81199511204744 41.050232542830614 -6.887221191475457 -0.817469102903643 0 59.182598069350405
27.735000000000937 65.67528805954298 44.83198678467682 -6.417180889565865 -0.83667963195358 0 59.182598093533315
27.753000000000938 60.50805191645413 48.9353734054318 -6.000574004077945 -0.8069495012932785 0 59.182598112753475
27.77100000000094 55.372222923777485 53.23872687797166 -5.655043154438937 -0.7133028916538782 0 59.182598116207586
27.78900000000094 50.36158687103761 57.58127574025347 -5.388139457865181 -0.5508676943735236 0 59.1825981012629
27.80700000000094 45.5660137121558 61.81413695838951 -5.194010285154916 -0.3278989116715976 0 59.18259807206623
27.82500000000094 41.037966340809014 65.84744015340513 -5.0585982556263005 -0.06036017041019753 0 59.182598040395845
27.84300000000094 36.78780750594335 69.65614421122947 -4.9674761080966885 0.2359562698435431 0 59.18259801670936
27.861000000000942 32.7991511962507 73.25731424318877 -4.90983491256816 0.5493309873667188 0 59.182598002492945
27.879000000000943 29.04497169232095 76.68645004162738 -4.878709519999228 0.872218422818994 0 59.18259799480272
27.897000000000943 25.497158861488483 79.98332912306596 -4.869872073432121 1.2000331917312559 0 59.18259799076444
27.915000000000944 22.130652891597702 83.18576094623842 -4.880746247015442 1.5299872807327404 0 59.182597988610695
27.933000000000945 18.924694215869327 86.32762239810766 -4.909661156310072 1.8602924312753706 0 59.182597987409665
27.951000000000946 15.862851465275401 89.43877782487858 -4.9553962525482405 2.1896713121622495 0 59.18259798669584
27.969000000000946 12.932642417627049 92.5456972766233 -5.016914137455314 2.517068169849603 0 59.18259798623983
27.987000000000947 10.125092453220077 95.67226330319284 -5.093203372131573 2.841476764702658 0 59.18259798592912
28.005000000000948 7.434357486857953 98.84057164305544 -5.183183210581499 3.1618347633305484 0 59.18259798570997
